League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
NALCS,2015,Spring,Season,TIP,1,0,T8,40,Impact,Gnar,Rush,LeeSin,XiaoWeiXiao,Leblanc,Apollo,KogMaw,Adrian,Nami,CaliTrlolz8,Malphite,Porpoise8,JarvanIV,Slooshi8,Orianna,Maplestreet8,Graves,Dodo8,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010106?gameHash=4ee943c3b28c3680
NALCS,2015,Spring,Season,CST,0,1,GV,39,Cris,Sion,Impaler,Rengar,Jesiz,Ahri,Mash,Sivir,Sheep,Janna,Hauntzer,Lissandra,Saintvicious,JarvanIV,Keane,Corki,Cop,Kalista,Bunny FuFuu,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001010113?gameHash=27b78c313c1137d7
NALCS,2015,Spring,Season,GV,0,1,TIP,49,Hauntzer,Lulu,Saintvicious,RekSai,Keane,Corki,Cop,Kalista,Bunny FuFuu,Morgana,Impact,Rumble,Rush,LeeSin,XiaoWeiXiao,Ahri,Apollo,Graves,Adrian,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020025?gameHash=ff41aed69d32573b
NALCS,2015,Spring,Season,C9,1,0,T8,35,Balls,Maokai,Meteos,Vi,Hai,Kassadin,Sneaky,Graves,LemonNation,Annie,CaliTrlolz8,Irelia,Porpoise8,JarvanIV,Slooshi8,Corki,Maplestreet8,Sivir,Dodo8,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56
NALCS,2015,Spring,Season,DIG,0,1,TSM,36,Gamsu,RekSai,CloudNguyen,Vi,Shiphtur,Azir,CoreJJ,Corki,KiWiKiD,Thresh,Dyrus,Maokai,Santorin,LeeSin,Bjergsen,Xerath,WildTurtle,Sivir,Lustboy,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70
NALCS,2015,Spring,Season,TL,1,0,CST,43,Quas,Lissandra,IWDominate,RekSai,FeniX,Xerath,Piglet,Vayne,Xpecial,Nami,Cris,Sion,Impaler,JarvanIV,Jesiz,Cassiopeia,Mash,Sivir,Sheep,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f
NALCS,2015,Spring,Season,WFX,0,1,CLG,32,Avalon,Gnar,Helios,JarvanIV,Pobelter,Kassadin,Altec,Sivir,Gleeb,Janna,ZionSpartan,Irelia,Xmithie,Vi,Link,Nidalee,Doublelift,Jinx,Aphromoo,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940
NALCS,2015,Spring,Season,C9,1,0,CST,31,Balls,Rumble,Meteos,Vi,Hai,Leblanc,Sneaky,Graves,LemonNation,Morgana,Cris,Maokai,Impaler,JarvanIV,Jesiz,Xerath,Mash,Lucian,Sheep,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906
NALCS,2015,Spring,Season,CLG,1,0,GV,36,ZionSpartan,Lissandra,Xmithie,LeeSin,Link,Ezreal,Doublelift,Sivir,Aphromoo,Alistar,Hauntzer,Irelia,Saintvicious,Vi,Keane,Azir,Cop,Corki,Bunny FuFuu,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7
NALCS,2015,Spring,Season,TL,0,1,DIG,41,Quas,Maokai,IWDominate,Vi,FeniX,Ezreal,Piglet,Vayne,Xpecial,Annie,Gamsu,Rumble,CloudNguyen,JarvanIV,Shiphtur,Ahri,CoreJJ,Sivir,KiWiKiD,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c
NALCS,2015,Spring,Season,T8,1,0,WFX,31,CaliTrlolz8,Jax,Porpoise8,RekSai,Slooshi8,Lissandra,Maplestreet8,Graves,Dodo8,Morgana,Avalon,Gnar,Helios,LeeSin,Pobelter,Lulu,Altec,Kalista,Gleeb,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3
NALCS,2015,Spring,Season,TSM,1,0,TIP,30,Dyrus,Sion,Santorin,Vi,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Impact,Maokai,Rush,LeeSin,XiaoWeiXiao,Yasuo,Apollo,Graves,Adrian,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a
NALCS,2015,Spring,Season,CST,0,1,CLG,45,Cris,Irelia,Impaler,RekSai,Jesiz,Leblanc,Mash,Kalista,Sheep,Thresh,ZionSpartan,Sion,Xmithie,JarvanIV,Link,Nidalee,Doublelift,Jinx,Aphromoo,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410
NALCS,2015,Spring,Season,WFX,1,0,TIP,42,Avalon,Lissandra,Helios,Vi,Pobelter,Kassadin,Altec,Graves,Gleeb,Morgana,Impact,Maokai,Rush,RekSai,XiaoWeiXiao,Ezreal,Apollo,Sivir,Adrian,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030105?gameHash=e51256475a000fe2
NALCS,2015,Spring,Season,DIG,0,1,C9,27,Gamsu,Gnar,CloudNguyen,JarvanIV,Shiphtur,Leblanc,CoreJJ,Sivir,KiWiKiD,Thresh,Balls,Maokai,Meteos,Nidalee,Hai,Zed,Sneaky,Kalista,LemonNation,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030110?gameHash=e1bde5fe2c45e8e3
NALCS,2015,Spring,Season,T8,0,1,TL,35,CaliTrlolz8,Maokai,Porpoise8,RekSai,Slooshi8,Kassadin,Maplestreet8,Draven,Dodo8,Thresh,Quas,Rumble,IWDominate,JarvanIV,FeniX,Ahri,Piglet,Graves,Xpecial,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030118?gameHash=39b9ce5203d86ca3
NALCS,2015,Spring,Season,GV,0,1,TSM,43,Hauntzer,Maokai,Saintvicious,JarvanIV,Keane,Xerath,Cop,Graves,Bunny FuFuu,Braum,Dyrus,Lissandra,Santorin,Vi,Bjergsen,Zed,WildTurtle,Sivir,Lustboy,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030127?gameHash=762c72407ff38146
NALCS,2015,Spring,Season,WFX,1,0,C9,37,Avalon,Lissandra,Helios,RekSai,Pobelter,Ahri,Altec,Graves,Gleeb,Leona,Balls,Maokai,Meteos,Vi,Hai,Kassadin,Sneaky,Lucian,LemonNation,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030142?gameHash=f7660a0913591227
NALCS,2015,Spring,Season,TIP,1,0,CST,40,Impact,Rumble,Rush,Vi,XiaoWeiXiao,Lissandra,Apollo,Jinx,Adrian,Morgana,Cris,Gnar,Impaler,JarvanIV,Jesiz,Xerath,Mash,Graves,Sheep,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030146?gameHash=fd8fc20be34b5c44
NALCS,2015,Spring,Season,CLG,0,1,TSM,46,ZionSpartan,Gnar,Xmithie,Vi,Link,Lissandra,Doublelift,Corki,Aphromoo,Janna,Dyrus,Sion,Santorin,JarvanIV,Bjergsen,Ahri,WildTurtle,Sivir,Lustboy,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030165?gameHash=c292e0f8bae5f425
NALCS,2015,Spring,Season,GV,1,0,TL,48,Hauntzer,Maokai,Saintvicious,Vi,Keane,Zed,Cop,Graves,Bunny FuFuu,Thresh,Quas,Swain,IWDominate,JarvanIV,FeniX,Azir,Piglet,Tristana,Xpecial,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030177?gameHash=4ee28c7066b9abec
NALCS,2015,Spring,Season,DIG,1,0,T8,39,Gamsu,Renekton,CloudNguyen,LeeSin,Shiphtur,Kassadin,CoreJJ,Corki,KiWiKiD,Annie,CaliTrlolz8,Maokai,Porpoise8,Vi,Slooshi8,Orianna,Maplestreet8,Sivir,Dodo8,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030183?gameHash=39b59022b7b3c006
NALCS,2015,Spring,Season,TL,0,1,WFX,40,Quas,Fizz,IWDominate,RekSai,FeniX,Xerath,KEITH,Jinx,Xpecial,Janna,Avalon,Maokai,Helios,Vi,Pobelter,Leblanc,Altec,Graves,Imagine,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040016?gameHash=d9538f2bc0c37e0e
NALCS,2015,Spring,Season,T8,0,1,GV,49,CaliTrlolz8,Gnar,Porpoise8,RekSai,Slooshi8,Ahri,Maplestreet8,Graves,Dodo8,Annie,Hauntzer,Maokai,Saintvicious,Nunu,Keane,Kassadin,Cop,Sivir,Bunny FuFuu,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040017?gameHash=30f903bff8e6336a
NALCS,2015,Spring,Season,C9,1,0,TIP,37,Balls,Maokai,Meteos,Nidalee,Hai,Zed,Sneaky,Corki,LemonNation,Veigar,Impact,DrMundo,Rush,LeeSin,XiaoWeiXiao,Leblanc,Apollo,Graves,Adrian,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040024?gameHash=2e458128cf3104dc
NALCS,2015,Spring,Season,DIG,0,1,CLG,35,Gamsu,Rumble,CloudNguyen,RekSai,Shiphtur,Kassadin,CoreJJ,Lucian,KiWiKiD,Morgana,ZionSpartan,Maokai,Xmithie,Vi,Link,Ahri,Doublelift,Tristana,Aphromoo,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040034?gameHash=c7dc48aa3e0cf7d9
NALCS,2015,Spring,Season,TSM,1,0,CST,24,Dyrus,Maokai,Santorin,Vi,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Cris,Kassadin,Impaler,RekSai,mancloud,Zed,Mash,Sivir,Sheep,Blitzcrank,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040041?gameHash=5f815b5bea274396
NALCS,2015,Spring,Season,C9,1,0,CLG,44,Balls,Rumble,Meteos,RekSai,Hai,Zed,Sneaky,Corki,LemonNation,Braum,ZionSpartan,Maokai,Xmithie,JarvanIV,Link,Ahri,Doublelift,Sivir,Aphromoo,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040061?gameHash=3d6baa0cc755c64b
NALCS,2015,Spring,Season,TL,1,0,TSM,54,Quas,Irelia,IWDominate,RekSai,FeniX,Lissandra,KEITH,Corki,Xpecial,Annie,Dyrus,Rumble,Santorin,JarvanIV,Bjergsen,Cassiopeia,WildTurtle,Jinx,Lustboy,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040062?gameHash=69af528266947113
NALCS,2015,Spring,Season,WFX,0,1,DIG,47,Avalon,Sion,Helios,RekSai,Pobelter,Ahri,Altec,Graves,Imagine,Janna,Gamsu,Renekton,CloudNguyen,JarvanIV,Shiphtur,Kassadin,CoreJJ,Sivir,KiWiKiD,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040068?gameHash=a5610f43cd3d602d
NALCS,2015,Spring,Season,CST,0,1,T8,33,Cris,Maokai,Impaler,RekSai,mancloud,Ahri,Mash,Graves,Sheep,Janna,CaliTrlolz8,Irelia,Porpoise8,JarvanIV,Slooshi8,Leblanc,Maplestreet8,Sivir,Dodo8,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040074?gameHash=4a8f29871aa91c19
NALCS,2015,Spring,Season,TIP,1,0,GV,30,Impact,Morgana,Rush,RekSai,XiaoWeiXiao,Lulu,Apollo,Sivir,Adrian,Janna,Hauntzer,DrMundo,Saintvicious,Nunu,Keane,Zed,Cop,Corki,Bunny FuFuu,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040080?gameHash=396617cc71cbceda
NALCS,2015,Spring,Season,CST,0,1,C9,34,Cris,Gnar,Impaler,JarvanIV,mancloud,Syndra,Mash,Graves,Sheep,Morgana,Balls,Maokai,Meteos,RekSai,Hai,Zed,Sneaky,Corki,LemonNation,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040096?gameHash=bc68309937870981
NALCS,2015,Spring,Season,T8,1,0,TIP,49,CaliTrlolz8,Fizz,Porpoise8,RekSai,Slooshi8,Leblanc,Maplestreet8,Graves,Dodo8,Nami,Impact,Maokai,Rush,JarvanIV,XiaoWeiXiao,Ezreal,Apollo,Corki,Adrian,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040103?gameHash=a533f17d4bb03191
NALCS,2015,Spring,Season,TL,1,0,GV,29,Quas,Kennen,IWDominate,RekSai,FeniX,Lissandra,KEITH,Corki,Xpecial,Braum,Hauntzer,Hecarim,Saintvicious,Nidalee,Keane,Viktor,Cop,Graves,Bunny FuFuu,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040111?gameHash=ca91673c6bf73b8c
NALCS,2015,Spring,Season,TSM,1,0,DIG,33,Dyrus,Maokai,Santorin,RekSai,Bjergsen,Lissandra,WildTurtle,Sivir,Lustboy,Janna,Gamsu,Renekton,Azingy,Vi,Shiphtur,Ezreal,CoreJJ,Graves,KiWiKiD,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040117?gameHash=50ad455b65d0dc4a
NALCS,2015,Spring,Season,CLG,1,0,WFX,29,ZionSpartan,Maokai,Xmithie,JarvanIV,Link,Ezreal,Doublelift,Kalista,Aphromoo,Thresh,Avalon,Hecarim,Helios,RekSai,Pobelter,Kassadin,Altec,Corki,Imagine,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040123?gameHash=4ed8e2415375e46a
NALCS,2015,Spring,Season,GV,1,0,CST,33,Hauntzer,Maokai,Saintvicious,RekSai,Keane,Kassadin,Cop,Graves,Bunny FuFuu,Veigar,Cris,Rumble,Impaler,Rengar,mancloud,Ezreal,Mash,Corki,Sheep,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040132?gameHash=1a0b4fb7d835dfe3
NALCS,2015,Spring,Season,C9,1,0,WFX,30,Balls,Maokai,Meteos,Nidalee,Hai,Zed,Sneaky,Corki,LemonNation,Morgana,Avalon,Gnar,Helios,JarvanIV,Pobelter,Leblanc,Altec,Kalista,Imagine,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040142?gameHash=829819eb50b6fb17
NALCS,2015,Spring,Season,TIP,1,0,TSM,42,Impact,Morgana,Rush,LeeSin,XiaoWeiXiao,Kassadin,Apollo,Graves,Adrian,Leona,Dyrus,Irelia,Santorin,RekSai,Bjergsen,Leblanc,WildTurtle,Corki,Lustboy,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040154?gameHash=9272190b156f9bfc
NALCS,2015,Spring,Season,CLG,0,1,TL,55,ZionSpartan,Rumble,Xmithie,Nidalee,Link,Ezreal,Doublelift,Tristana,Aphromoo,Braum,Quas,Morgana,IWDominate,RekSai,FeniX,Zed,KEITH,Jinx,Xpecial,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040161?gameHash=7fc7f4aac6a34613
NALCS,2015,Spring,Season,T8,1,0,DIG,38,CaliTrlolz8,Gragas,Porpoise8,RekSai,Slooshi8,Zed,Maplestreet8,Sivir,Dodo8,Morgana,Gamsu,Maokai,Azingy,FiddleSticks,Shiphtur,Ahri,CoreJJ,Ezreal,KiWiKiD,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001040172?gameHash=ff0fdf86f60bcf5d
NALCS,2015,Spring,Season,DIG,1,0,CST,51,Gamsu,Rumble,Azingy,Vi,Shiphtur,Ahri,CoreJJ,Sivir,KiWiKiD,Annie,Cris,Kennen,Impaler,LeeSin,mancloud,Leblanc,Mash,Corki,Sheep,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070013?gameHash=6a8317d85932ae7b
NALCS,2015,Spring,Season,GV,0,1,CLG,36,Hauntzer,Lissandra,Saintvicious,Sejuani,Keane,Viktor,Cop,Graves,Bunny FuFuu,Janna,ZionSpartan,Hecarim,Xmithie,RekSai,Link,Lulu,Doublelift,Jinx,Aphromoo,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070015?gameHash=07f89ba08ad1f2b3
NALCS,2015,Spring,Season,WFX,0,1,TSM,46,Avalon,Kennen,Helios,JarvanIV,Pobelter,Viktor,Paragon,Corki,Altec,Leona,Dyrus,Lulu,Santorin,RekSai,Bjergsen,Zed,WildTurtle,Sivir,Lustboy,Thresh,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070035?gameHash=035f73b1b70fb706
NALCS,2015,Spring,Season,TIP,1,0,C9,40,Impact,Kennen,Rush,LeeSin,XiaoWeiXiao,Karthus,Apollo,Graves,Adrian,Leona,Balls,Lulu,Meteos,Vi,Hai,Zed,Sneaky,Corki,LemonNation,Braum,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070042?gameHash=dbec95dc7669c1c7
NALCS,2015,Spring,Season,TL,0,1,T8,46,Quas,Kennen,IWDominate,JarvanIV,FeniX,Zed,Piglet,Kalista,Xpecial,Thresh,CaliTrlolz8,Rumble,Porpoise8,Vi,Slooshi8,Leblanc,Maplestreet8,Graves,Dodo8,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070051?gameHash=3ed5ca8c2fcd81cd
NALCS,2015,Spring,Season,C9,1,0,DIG,46,Balls,Lissandra,Meteos,Sejuani,Hai,Kennen,Sneaky,Graves,LemonNation,Morgana,Gamsu,JarvanIV,Azingy,RekSai,Shiphtur,Ahri,CoreJJ,Corki,KiWiKiD,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070068?gameHash=b1130cf8f9c5e772
NALCS,2015,Spring,Season,TSM,1,0,T8,37,Dyrus,Rumble,Santorin,Nidalee,Bjergsen,Lissandra,WildTurtle,Sivir,Lustboy,Annie,CaliTrlolz8,Gragas,Porpoise8,RekSai,Slooshi8,Orianna,Maplestreet8,Lucian,Dodo8,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070069?gameHash=4e2dfb93a17542c8
NALCS,2015,Spring,Season,TL,0,1,TIP,29,Quas,Kennen,IWDominate,JarvanIV,FeniX,Lulu,Piglet,Jinx,Xpecial,Braum,Impact,Maokai,Rush,Vi,XiaoWeiXiao,Karthus,Apollo,Graves,Adrian,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070075?gameHash=3727ce1de86ecc9f
NALCS,2015,Spring,Season,GV,1,0,WFX,45,Hauntzer,Rumble,Saintvicious,RekSai,Keane,Leblanc,Cop,Graves,Bunny FuFuu,Thresh,Avalon,Maokai,Helios,JarvanIV,Pobelter,Viktor,Paragon,Corki,Altec,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070082?gameHash=58f8b7117f1a7717
NALCS,2015,Spring,Season,CLG,1,0,CST,31,ZionSpartan,Kennen,Xmithie,Vi,Link,Zed,Doublelift,Kalista,aphromoo,Thresh,Cris,Irelia,Impaler,LeeSin,mancloud,Ahri,Mash,Graves,Sheep,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001070089?gameHash=ba06b386c0eeec8e
NALCS,2015,Spring,Season,CST,0,1,TIP,31,Cris,Irelia,WTHeaven,Gragas,mancloud,Chogath,Mash,Lucian,KonKwon,Leona,Impact,Rumble,Rush,Nidalee,XiaoWeiXiao,Yasuo,Apollo,Graves,Adrian,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090009?gameHash=b89b17c8ee1630d8
